{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(80), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.18656178999049144, 'nll': 0.8134381733546105, 'efficiency': 0.8062702509547852, 'f1': 0.7291509196271102}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(96), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.20085496869054797, 'nll': 0.7991346241503589, 'efficiency': 0.8680415535244247, 'f1': 0.7309541888129587}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(112), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.1534622681932234, 'nll': 0.8465239608982031, 'efficiency': 0.6632229541459003, 'f1': 0.7230188679245283}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(128), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.20038667387774312, 'nll': 0.799552755396356, 'efficiency': 0.8660177083615955, 'f1': 0.7195467422096317}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(144), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.16446650302689003, 'nll': 0.8355289412510154, 'efficiency': 0.7107803193564184, 'f1': 0.7170854271356784}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(160), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.17506670657749657, 'nll': 0.8249249295037081, 'efficiency': 0.7565915692235801, 'f1': 0.7317806160781368}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(176), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.1614223482212679, 'nll': 0.8385413374134494, 'efficiency': 0.6976242949679342, 'f1': 0.7246953494155683}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(192), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.14964956824145237, 'nll': 0.8501885301379734, 'efficiency': 0.6467454828100688, 'f1': 0.7187032418952618}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(208), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.13925665094726924, 'nll': 0.8607433102661834, 'efficiency': 0.6018300688050873, 'f1': 0.7189122373300371}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(224), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.12125076609359864, 'nll': 0.8787491943084785, 'efficiency': 0.5240134414004516, 'f1': 0.707754483455418}
